lat,lng,Names
37.635007,126.931084,Tratoria Piu (Italian)
37.634075,126.929118,Cafe Lato (Coffee and Beverages)
37.636547,126.932718,Hanna Bread (Bakery)
37.634249,126.929719,Basak (Korean Street Snacks)
37.635065,126.931167,Hamjibak (Korean Cuisine)
37.631985,126.924154,BBQ (Spicy Chickens)
37.633723,126.918849,Beijing Lambs (Chinese Lamb Skewers)
37.632623,126.918892,Ye Lai Xiang (Chinese Cuisine)
37.634369,126.917942,Baeks Sushi (Sushi)
37.634747,126.919584,Imo's (Korean Barbeque)
37.634802,126.920115,Miss Saigon (Vietnamese Pho)
37.638867,126.91884,Big Dumplings (Dumplings)
37.637154,126.918405,Season's Table (Korean Cuisine)
37.639242,126.919213,I Love Steak (Steaks)
37.640441,126.920785,Chaesundang (Shabu Shabu)
